soc6_id,ai,software,robot,nra,nri,nrm,rc,rm,req,wages,employment
Nov-39,0.3294150819078175,-0.530456448,-0.762180717,NA,NA,NA,NA,NA,NA,47.99,50180
Nov-41,0.8167536988510989,-0.314802698,-0.733458317,1.196584198,0.9704944186193512,-0.611506202,-0.636832806,-0.589331437,high,78.52,197180
Nov-51,-0.150408543,-0.676671284,-0.771998709,-1.203456938,0.018891716125265114,-0.269653137,0.5619668847466561,0.3180410402250036,low,32.27,231100
Nov-71,0.8095984952692771,-0.996807726,-0.745073502,-0.00491241,2.0653491408437294,-1.029695389,0.048195588787754845,-0.769924988,medium,46.07,4800
Nov-72,0.9456082195928966,-0.125887062,-0.70977161,NA,NA,NA,NA,NA,high,38.34,22950
Nov-81,0.3779044083786026,-0.44379139,-0.24814474,0.3375288833819958,1.6833437548962813,-0.521894234,0.14734443537631345,-0.452785093,high,35.21,39870
Nov-11,1.2439066768195521,0.296318534,-0.511459118,1.2231529185723302,2.515569774281791,-1.14254009,0.5259127587144516,-0.37350012,high,61.53,476750
Nov-21,1.312177722,-0.627711733,-0.744825543,0.8728394113192649,0.7033180326144407,-1.083905098,-0.24324193,-0.888852449,high,78.66,82570
Nov-31,0.8029931174810427,-0.264721254,-0.587770356,0.4378996073702337,1.7447374776378357,-1.288574409,0.49887216419029956,-0.126835757,low,40.48,13460
Nov-41,1.1986298145256544,-0.790357137,-0.621628106,0.030512551,1.424125814431944,-1.288574409,-0.817103436,-1.47027559,high,36.59,261120
Nov-51,1.138840296373115,-0.963391092,-0.563341598,0.5028453699508589,1.1239787254732354,-0.916850688,-0.177142699,-1.324919805,high,38.13,162880
Nov-61,1.012298616620973,0.11748095864939202,-0.430897636,1.205440437868524,2.495105200034607,-0.42232538,-1.024414661,-1.161945136,high,42.74,11290
Nov-71,0.3473543594936392,-0.298774739,-0.67389358,-0.306024582,0.073463914,-0.316118602,-0.772035778,-1.219206506,medium,40.76,13680
Nov-79,0.9456082195928966,-0.125887062,-0.70977161,0.3936184056107179,2.1608504873305896,-0.812303391,-0.9928673,-0.730282502,high,29.090000000000007,8840
Nov-99,0.9456082195928966,-0.125887062,-0.70977161,0.9466414142517925,1.203563180878954,-0.762518964,-0.635330551,-0.887384209,high,67.88,543290
13-1011,1.0504382395384928,-0.814077344,-0.582930701,-0.235174659,-0.485901115,-1.610513704,-0.528670428,-1.620036096,high,57.740000000000016,13130
13-1021,0.7478184826000479,-0.088664061,-0.58564165,0.1544999161093272,0.4963984485595733,-1.082798778,0.40873684910979086,-0.95051854,high,35.4266057,11589.12106777571
13-1022,0.7984012445400668,-0.121894333,-0.470285459,-0.412299466,-0.356292145,-0.979910962,0.17438502990046678,-0.413142607,medium,33.26039448207375,119611.8693
13-1023,1.4951249884777464,0.11724599386053099,-0.593693636,0.8216700226193788,1.2808737947016509,-1.398100149,0.13833090386826355,-1.025398793,high,37.18307973200853,333679.0095993423
13-1031,1.2577986592878556,-0.546450098,-0.761371564,0.4378996073702337,-0.724654482,-0.545126966,1.2289682163424227,-0.540879509,high,35.28,285270
13-1032,0.6416380186485794,0.028681410019251154,-0.471216277,0.095458314,-0.888371075,0.5103028859689801,0.2825474079970777,-0.333857633,medium,34.42,11430
13-1041,0.676582435,-0.656023536,-0.615688876,0.4075353547351369,0.20014937374318606,-0.602497592,0.506598048,-0.861165633,medium,37.01,359640
13-1051,1.3523075367483919,-0.119673142,-0.550293759,1.0637405922380703,0.6464719930389281,-1.374867416,0.6160480737949616,-1.087064883,high,36.89,225310
13-1071,1.3446182512833715,-0.763606218,-0.839645945,-0.022624891,0.892046884,-1.003143694,0.24649328196487327,-0.739091943,high,35.13,835360
13-1074,-0.467397343,-1.295115332,-0.76504764,-2.384288985,-0.840620402,0.11866539367437091,0.29156093950512885,-0.765520268,low,26.26,550
